tid,label,n_sectors_found,n_sectors_downloaded,sectors,total_size_mb,status,error,duration_s,downloaded_at
162246865,0,2,2,36;37,3.69,ok,,5.94,2026-05-04T18:55:07+00:00
260004324,1,42,3,1;2;3,6.04,ok,,8.62,2026-05-04T18:55:16+00:00
262746281,1,5,3,35;45;46,5.65,ok,,9.1,2026-05-04T18:55:25+00:00
169904935,0,1,1,34,1.85,ok,,2.82,2026-05-04T18:55:28+00:00
434234955,0,3,3,32;43;44,5.49,ok,,7.48,2026-05-04T18:55:35+00:00
366989877,1,4,3,13;27;67,5.89,ok,,7.45,2026-05-04T18:55:43+00:00
356461227,0,4,3,62;64;89,5.96,ok,,7.75,2026-05-04T18:55:58+00:00
126171392,0,0,0,,0.0,no_data,,2.58,2026-05-04T18:56:01+00:00
255760319,0,9,3,6;7;8,5.2,ok,,7.66,2026-05-04T18:56:08+00:00
355732304,0,2,2,80;81,3.88,ok,,6.99,2026-05-04T18:56:15+00:00
230386397,0,39,3,14;15;16,5.68,ok,,5.96,2026-05-04T18:56:21+00:00
92783821,0,6,3,41;54;55,5.85,ok,,5.57,2026-05-04T18:56:27+00:00
348684813,0,1,1,61,1.86,ok,,2.21,2026-05-04T18:56:29+00:00
326919774,0,4,3,17;18;58,5.64,ok,,5.53,2026-05-04T18:56:35+00:00
237232044,1,31,3,14;16;17,5.6,ok,,5.89,2026-05-04T18:56:41+00:00
261867566,1,9,3,12;38;39,6.04,ok,,5.97,2026-05-04T18:56:47+00:00
382437043,0,40,3,1;2;3,6.04,ok,,5.9,2026-05-04T18:56:52+00:00
389371332,0,11,3,7;27;28,5.43,ok,,7.95,2026-05-04T18:57:00+00:00
437856897,1,5,3,43;44;45,5.43,ok,,10.54,2026-05-04T18:57:11+00:00
389182138,0,1,1,77,2.05,ok,,3.37,2026-05-04T18:57:14+00:00
63013648,0,4,3,44;46;71,5.66,ok,,8.31,2026-05-04T18:57:23+00:00
348835438,1,3,3,61;88;99,5.91,ok,,7.49,2026-05-04T18:57:30+00:00
437893926,0,2,2,71;72,3.76,ok,,5.51,2026-05-04T18:57:36+00:00
383723559,0,0,0,,0.0,no_data,,4.71,2026-05-04T18:57:40+00:00
117322779,0,0,0,,0.0,no_data,,3.09,2026-05-04T18:57:43+00:00
29959761,0,0,0,,0.0,no_data,,2.17,2026-05-04T18:57:46+00:00
156648452,1,2,2,50;77,3.97,ok,,6.66,2026-05-04T18:57:52+00:00
143032776,0,2,2,63;100,3.88,ok,,6.05,2026-05-04T18:57:58+00:00
406190563,0,2,2,81;82,3.84,ok,,6.03,2026-05-04T18:58:04+00:00
341186896,0,5,3,27;34;35,5.47,ok,,7.08,2026-05-04T18:58:11+00:00
431148743,0,0,0,,0.0,no_data,,4.14,2026-05-04T18:58:16+00:00
267527924,0,2,2,34;35,3.68,ok,,5.07,2026-05-04T18:58:21+00:00
190981760,0,0,0,,0.0,no_data,,3.66,2026-05-04T18:58:24+00:00
358631536,0,5,3,55;75;76,5.99,ok,,6.95,2026-05-04T18:58:31+00:00
301051430,0,2,2,30;31,3.86,ok,,6.14,2026-05-04T18:58:37+00:00
374778982,0,1,1,58,2.03,ok,,3.41,2026-05-04T18:58:41+00:00
290348382,0,0,0,,0.0,no_data,,3.16,2026-05-04T18:58:44+00:00
284528889,0,1,1,58,2.03,ok,,3.45,2026-05-04T18:58:47+00:00
445805961,1,9,3,19;20;26,5.58,ok,,9.25,2026-05-04T18:58:57+00:00
432008938,0,2,2,7;8,3.6,ok,,4.54,2026-05-04T18:59:01+00:00
119081096,0,2,2,8;35,3.63,ok,,6.55,2026-05-04T18:59:08+00:00
258510872,1,20,3,24;25;48,5.87,ok,,8.37,2026-05-04T18:59:16+00:00
177612321,0,1,1,87,1.97,ok,,3.35,2026-05-04T18:59:19+00:00
294599100,0,1,1,54,1.92,ok,,2.76,2026-05-04T18:59:22+00:00
361998994,0,1,1,63,1.94,ok,,2.66,2026-05-04T18:59:25+00:00
146836153,0,1,1,61,1.86,ok,,3.14,2026-05-04T18:59:28+00:00
271169413,1,3,3,11;38;64,5.91,ok,,6.8,2026-05-04T18:59:35+00:00
95129101,0,6,3,44;45;46,5.6,ok,,10.43,2026-05-04T18:59:45+00:00
321857016,1,10,3,16;24;56,5.78,ok,,8.17,2026-05-04T18:59:53+00:00
340700241,0,8,3,61;62;63,5.68,ok,,7.71,2026-05-04T19:00:01+00:00
268301217,1,7,3,34;35;36,5.52,ok,,9.32,2026-05-04T19:00:10+00:00
28643432,0,3,3,74;80;81,5.83,ok,,11.69,2026-05-04T19:00:22+00:00
332534326,1,0,0,,0.0,no_data,,3.11,2026-05-04T19:00:37+00:00
175180796,0,3,3,7;8;34,5.45,ok,,8.03,2026-05-04T19:00:45+00:00
384549882,0,2,2,35;36,3.67,ok,,6.07,2026-05-04T19:00:51+00:00
323658120,0,1,1,72,1.86,ok,,3.21,2026-05-04T19:00:54+00:00
348755723,0,2,2,8;35,3.63,ok,,9.21,2026-05-04T19:01:17+00:00
85293053,1,2,2,21;48,4.05,ok,,6.08,2026-05-04T19:01:23+00:00
33595516,1,1,1,97,3.96,ok,,2.88,2026-05-04T19:01:26+00:00
54390047,0,1,1,34,1.85,ok,,2.62,2026-05-04T19:01:36+00:00
294500964,0,8,3,34;44;45,5.47,ok,,7.31,2026-05-04T19:01:43+00:00
416624606,0,1,1,55,1.99,ok,,2.93,2026-05-04T19:01:46+00:00
150271680,0,31,3,1;2;3,6.04,ok,,7.15,2026-05-04T19:01:53+00:00
120585579,0,2,2,2;69,3.89,ok,,4.69,2026-05-04T19:01:58+00:00
260708537,1,44,3,1;2;3,6.04,ok,,8.28,2026-05-04T19:02:06+00:00
132534906,0,1,1,61,1.86,ok,,2.7,2026-05-04T19:02:09+00:00
54464870,0,0,0,,0.0,no_data,,3.23,2026-05-04T19:02:12+00:00
179034327,1,4,3,4;5;31,5.68,ok,,8.36,2026-05-04T19:02:20+00:00
142381532,1,9,3,14;15;21,5.87,ok,,6.27,2026-05-04T19:02:27+00:00
195199644,0,4,3,55;75;76,5.99,ok,,5.88,2026-05-04T19:02:41+00:00
88992642,1,6,3,26;40;52,5.67,ok,,6.03,2026-05-04T19:02:47+00:00
392476080,1,2,2,52;79,3.78,ok,,5.11,2026-05-04T19:02:52+00:00
20182165,0,5,3,23;24;50,5.82,ok,,6.12,2026-05-04T19:02:58+00:00
131581531,0,1,1,88,2.03,ok,,2.99,2026-05-04T19:03:01+00:00
272828463,0,0,0,,0.0,no_data,,4.82,2026-05-04T19:03:06+00:00
445903569,1,6,3,36;62;63,5.66,ok,,10.18,2026-05-04T19:03:16+00:00
379723086,0,0,0,,0.0,no_data,,2.99,2026-05-04T19:03:19+00:00
232608943,1,26,3,40;41;47,5.99,ok,,0.76,2026-05-04T19:03:20+00:00
9033144,0,4,3,2;29;69,5.81,ok,,7.9,2026-05-04T19:03:28+00:00
155986102,0,0,0,,0.0,no_data,,3.21,2026-05-04T19:03:31+00:00
92013169,0,6,3,33;43;44,5.48,ok,,7.69,2026-05-04T19:03:39+00:00
305424003,1,5,3,12;39;93,6.0,ok,,9.05,2026-05-04T19:03:48+00:00
364075352,0,3,3,40;52;53,5.68,ok,,6.67,2026-05-04T19:03:55+00:00
387664868,0,2,2,76;83,0.0,ok,,9.45,2026-05-04T19:04:04+00:00
287190564,0,2,2,40;41,4.01,ok,,4.98,2026-05-04T19:04:09+00:00
345724317,0,0,0,,0.0,no_data,,2.4,2026-05-04T19:04:12+00:00
146208651,0,0,0,,0.0,no_data,,2.57,2026-05-04T19:04:14+00:00
124702477,0,0,0,,0.0,no_data,,2.27,2026-05-04T19:04:16+00:00
158297421,1,4,3,13;27;67,5.89,ok,,7.07,2026-05-04T19:04:24+00:00
60074373,0,1,1,88,2.03,ok,,3.08,2026-05-04T19:04:27+00:00
261258875,0,7,3,28;31;34,5.56,ok,,7.93,2026-05-04T19:04:35+00:00
360286627,0,5,3,36;37;62,5.57,ok,,7.05,2026-05-04T19:04:42+00:00
238374636,0,5,3,34;35;36,5.52,ok,,6.87,2026-05-04T19:04:48+00:00
99330090,0,2,2,48;49,4.01,ok,,6.62,2026-05-04T19:04:55+00:00
298495970,0,2,2,53;79,3.81,ok,,5.45,2026-05-04T19:05:00+00:00
248250955,1,3,3,12;39;66,6.18,ok,,7.36,2026-05-04T19:05:08+00:00
154927364,0,4,3,40;41;47,5.99,ok,,7.84,2026-05-04T19:05:16+00:00
271042173,0,1,1,54,1.92,ok,,2.96,2026-05-04T19:05:19+00:00
31656385,0,4,3,28;29;30,5.76,ok,,8.77,2026-05-04T19:05:27+00:00
316254876,0,0,0,,0.0,no_data,,3.24,2026-05-04T19:05:31+00:00
151959065,0,5,3,9;10;36,5.61,ok,,7.58,2026-05-04T19:05:38+00:00
34505005,0,2,2,62;63,3.82,ok,,5.28,2026-05-04T19:05:52+00:00
142532090,1,1,1,87,1.97,ok,,3.05,2026-05-04T19:05:55+00:00
107728509,0,1,1,39,2.04,ok,,3.06,2026-05-04T19:05:58+00:00
77102895,0,0,0,,0.0,no_data,,5.86,2026-05-04T19:06:04+00:00
106997505,0,1,1,34,1.85,ok,,3.82,2026-05-04T19:06:08+00:00
66561343,1,2,2,33;98,6.06,ok,,5.46,2026-05-04T19:06:14+00:00
377304435,0,3,3,40;49;53,5.86,ok,,7.39,2026-05-04T19:06:21+00:00
29830212,0,0,0,,0.0,no_data,,27.79,2026-05-04T19:06:49+00:00
417646390,1,5,3,52;53;59,5.55,ok,,8.77,2026-05-04T19:06:58+00:00
464296022,0,3,3,36;37;90,5.73,ok,,7.5,2026-05-04T19:07:05+00:00
354006740,0,0,0,,0.0,no_data,,3.39,2026-05-04T19:07:08+00:00
52041724,0,2,2,24;25,3.82,ok,,5.28,2026-05-04T19:07:14+00:00
144956678,0,2,2,34;35,3.68,ok,,5.0,2026-05-04T19:07:19+00:00
61733521,0,0,0,,0.0,no_data,,4.45,2026-05-04T19:07:30+00:00
73104318,0,0,0,,0.0,no_data,,5.54,2026-05-04T19:07:36+00:00
162577466,0,6,3,50;51;52,5.51,ok,,6.79,2026-05-04T19:07:43+00:00
402898317,1,32,3,15;16;17,5.54,ok,,7.15,2026-05-04T19:07:50+00:00
137906197,1,4,3,21;48;74,6.0,ok,,8.3,2026-05-04T19:07:58+00:00
417931607,1,7,3,14;15;21,5.87,ok,,8.23,2026-05-04T19:08:06+00:00
305506996,1,1,1,82,1.89,ok,,3.69,2026-05-04T19:08:10+00:00
67512645,1,1,1,72,1.86,ok,,3.0,2026-05-04T19:08:13+00:00
219015370,1,9,3,40;41;47,5.99,ok,,7.5,2026-05-04T19:08:20+00:00
220435095,0,28,3,13;27;28,5.71,ok,,7.75,2026-05-04T19:08:28+00:00
290131778,1,5,3,1;28;68,5.9,ok,,7.55,2026-05-04T19:08:36+00:00
409520860,0,0,0,,0.0,no_data,,3.44,2026-05-04T19:08:39+00:00
73723286,0,5,3,9;63;90,5.83,ok,,8.26,2026-05-04T19:08:47+00:00
103245940,0,1,1,90,2.04,ok,,3.05,2026-05-04T19:08:50+00:00
242460075,0,0,0,,0.0,no_data,,4.36,2026-05-04T19:08:55+00:00
1100766816,0,1,1,51,0.0,ok,,6.16,2026-05-04T19:09:01+00:00
243153196,0,2,2,57;84,3.99,ok,,5.36,2026-05-04T19:09:06+00:00
209464063,1,4,3,4;30;31,5.76,ok,,7.51,2026-05-04T19:09:14+00:00
50309953,0,5,3,1;13;93,6.03,ok,,7.53,2026-05-04T19:09:29+00:00
305478010,0,1,1,83,1.83,ok,,2.87,2026-05-04T19:09:32+00:00
384888319,1,3,3,42;43;70,5.54,ok,,7.55,2026-05-04T19:09:40+00:00
374908020,0,0,0,,0.0,no_data,,28.45,2026-05-04T19:10:08+00:00
369327947,1,9,3,12;13;27,5.91,ok,,9.23,2026-05-04T19:10:18+00:00
191146556,0,0,0,,0.0,no_data,,2.9,2026-05-04T19:10:20+00:00
271439193,0,6,3,57;58;77,6.18,ok,,7.25,2026-05-04T19:10:28+00:00
68152139,0,0,0,,0.0,no_data,,2.84,2026-05-04T19:10:31+00:00
315755496,0,7,3,40;47;52,5.84,ok,,7.47,2026-05-04T19:10:38+00:00
286916251,1,6,3,15;16;22,5.7,ok,,7.5,2026-05-04T19:10:46+00:00
118021229,0,1,1,34,1.85,ok,,2.28,2026-05-04T19:10:54+00:00
69356857,1,3,3,74;75;81,5.92,ok,,5.61,2026-05-04T19:11:05+00:00
454248975,1,2,2,64;65,4.01,ok,,4.13,2026-05-04T19:11:11+00:00
19342878,1,3,3,61;88;99,5.91,ok,,5.54,2026-05-04T19:11:17+00:00
258920431,1,28,3,40;41;47,5.99,ok,,5.94,2026-05-04T19:11:23+00:00
281408474,1,1,1,87,1.97,ok,,2.33,2026-05-04T19:11:25+00:00
81429971,0,2,2,34;35,3.68,ok,,4.04,2026-05-04T19:11:29+00:00
276380902,0,2,2,41;55,3.93,ok,,4.03,2026-05-04T19:11:33+00:00
185226925,0,5,3,56;75;76,6.05,ok,,5.78,2026-05-04T19:11:39+00:00
147950620,1,9,3,14;20;21,5.89,ok,,5.71,2026-05-04T19:11:45+00:00
202426247,1,13,3,14;15;16,5.68,ok,,5.66,2026-05-04T19:11:51+00:00
158002130,1,15,3,14;19;20,5.73,ok,,5.93,2026-05-04T19:11:56+00:00
308034948,0,7,3,10;11;37,5.76,ok,,5.47,2026-05-04T19:12:02+00:00
81247740,1,1,1,50,1.92,ok,,2.17,2026-05-04T19:12:04+00:00
252537013,0,2,2,77;84,3.93,ok,,3.97,2026-05-04T19:12:08+00:00
425721385,0,1,1,27,1.79,ok,,2.2,2026-05-04T19:12:10+00:00
393818343,1,1,1,55,1.99,ok,,2.09,2026-05-04T19:12:12+00:00
28873762,0,5,3,42;43;44,5.45,ok,,5.52,2026-05-04T19:12:18+00:00
459728249,1,0,0,,0.0,no_data,,1.8,2026-05-04T19:12:25+00:00
81212286,0,3,3,20;47;74,5.86,ok,,5.47,2026-05-04T19:12:31+00:00
284747017,0,4,3,43;44;45,5.43,ok,,7.06,2026-05-04T19:12:38+00:00
424196109,1,3,3,65;100;101,5.89,ok,,5.82,2026-05-04T19:12:50+00:00
335996558,0,0,0,,0.0,no_data,,4.67,2026-05-04T19:12:55+00:00
151724385,1,3,3,54;81;92,5.81,ok,,5.68,2026-05-04T19:13:00+00:00
344416349,0,0,0,,0.0,no_data,,1.92,2026-05-04T19:13:06+00:00
409183335,0,0,0,,0.0,no_data,,4.21,2026-05-04T19:13:10+00:00
256414077,0,0,0,,0.0,no_data,,4.59,2026-05-04T19:13:15+00:00
146520535,1,2,2,32;98,6.07,ok,,4.41,2026-05-04T19:13:19+00:00
312259170,0,0,0,,0.0,no_data,,2.5,2026-05-04T19:13:27+00:00
30329585,0,6,3,40;41;54,5.92,ok,,5.68,2026-05-04T19:13:33+00:00
207110080,1,4,3,29;30;96,5.79,ok,,5.92,2026-05-04T19:13:45+00:00
163539739,1,6,3,15;55;56,5.93,ok,,5.8,2026-05-04T19:13:51+00:00
383666033,0,0,0,,0.0,no_data,,2.78,2026-05-04T19:13:53+00:00
394137592,1,3,3,1;95;96,5.76,ok,,5.69,2026-05-04T19:13:59+00:00
380517859,0,3,3,75;81;82,5.86,ok,,5.5,2026-05-04T19:14:05+00:00
131979339,0,4,3,34;35;61,5.54,ok,,5.81,2026-05-04T19:14:10+00:00
97921547,1,2,2,87;88,4.0,ok,,3.75,2026-05-04T19:14:14+00:00
155044736,0,2,2,34;61,3.72,ok,,4.05,2026-05-04T19:14:18+00:00
193641523,1,7,3,11;12;38,5.98,ok,,5.74,2026-05-04T19:14:24+00:00
47484268,0,2,2,2;29,3.92,ok,,4.11,2026-05-04T19:14:34+00:00
238162973,0,2,2,61;62,3.74,ok,,3.91,2026-05-04T19:14:38+00:00
341544930,0,5,3,41;48;49,5.96,ok,,5.49,2026-05-04T19:14:43+00:00
435673126,0,0,0,,0.0,no_data,,3.47,2026-05-04T19:14:47+00:00
298049015,0,1,1,74,1.95,ok,,2.23,2026-05-04T19:14:49+00:00
184679932,0,3,3,18;58;85,5.68,ok,,5.6,2026-05-04T19:14:55+00:00
174328045,1,1,1,84,1.88,ok,,2.31,2026-05-04T19:14:57+00:00
23434737,1,7,3,9;10;36,5.61,ok,,5.6,2026-05-04T19:15:02+00:00
302659412,0,5,3,36;38;63,5.73,ok,,7.26,2026-05-04T19:15:10+00:00
344085117,0,5,3,61;62;87,5.71,ok,,5.61,2026-05-04T19:15:15+00:00
9727392,0,5,3,2;29;42,5.78,ok,,5.43,2026-05-04T19:15:21+00:00
238197709,0,29,3,12;13;28,5.97,ok,,5.59,2026-05-04T19:15:26+00:00
306648160,1,4,3,66;93;100,5.95,ok,,5.53,2026-05-04T19:15:32+00:00
410528770,0,0,0,,0.0,no_data,,4.55,2026-05-04T19:15:36+00:00
686072378,0,2,2,31;32,3.76,ok,,3.99,2026-05-04T19:15:40+00:00
32408928,0,0,0,,0.0,no_data,,3.26,2026-05-04T19:15:44+00:00
349373192,0,3,3,11;12;13,6.11,ok,,5.45,2026-05-04T19:15:49+00:00
95057860,1,2,2,87;98,6.13,ok,,4.01,2026-05-04T19:15:53+00:00
42123111,0,3,3,41;54;55,5.85,ok,,5.68,2026-05-04T19:15:59+00:00
466206508,1,4,3,27;67;94,5.71,ok,,5.68,2026-05-04T19:16:11+00:00
412961700,0,3,3,34;61;88,5.75,ok,,5.5,2026-05-04T19:16:16+00:00
441462736,1,3,3,2;29;96,5.8,ok,,5.63,2026-05-04T19:16:22+00:00
141776043,0,1,1,34,1.85,ok,,2.14,2026-05-04T19:16:24+00:00
15692883,1,2,2,57;84,3.99,ok,,3.88,2026-05-04T19:16:28+00:00
169187982,0,2,2,54;55,3.91,ok,,3.95,2026-05-04T19:16:32+00:00
357972447,0,1,1,55,1.99,ok,,2.22,2026-05-04T19:16:40+00:00
467006627,0,0,0,,0.0,no_data,,1.96,2026-05-04T19:16:42+00:00
420112587,0,40,3,14;15;16,5.68,ok,,6.65,2026-05-04T19:16:49+00:00
212957629,1,4,3,30;42;43,5.67,ok,,5.42,2026-05-04T19:16:54+00:00
341805908,0,3,3,65;66;93,6.05,ok,,5.61,2026-05-04T19:17:00+00:00
96246348,0,3,3,33;34;61,5.61,ok,,5.47,2026-05-04T19:17:05+00:00
318209162,0,2,2,21;47,3.98,ok,,7.22,2026-05-04T19:17:18+00:00
119584412,1,2,2,22;49,3.95,ok,,3.76,2026-05-04T19:17:22+00:00
332660287,0,0,0,,0.0,no_data,,2.51,2026-05-04T19:17:25+00:00
55525572,1,39,3,4;5;6,5.42,ok,,5.78,2026-05-04T19:17:30+00:00
457743020,0,3,3,63;64;90,5.95,ok,,5.54,2026-05-04T19:17:36+00:00
255918903,0,1,1,66,2.1,ok,,2.26,2026-05-04T19:17:38+00:00
396562848,1,10,3,18;19;25,5.5,ok,,5.98,2026-05-04T19:17:44+00:00
170729775,1,3,3,4;5;98,7.99,ok,,5.49,2026-05-04T19:17:50+00:00
18017227,0,1,1,48,2.05,ok,,2.12,2026-05-04T19:17:52+00:00
296739893,1,5,3,8;35;62,5.52,ok,,5.66,2026-05-04T19:17:58+00:00
131581522,0,1,1,61,1.86,ok,,5.35,2026-05-04T19:18:03+00:00
22221375,1,6,3,9;35;62,5.56,ok,,6.11,2026-05-04T19:18:09+00:00
42015200,0,3,3,29;30;97,7.88,ok,,6.17,2026-05-04T19:18:15+00:00
134200185,1,9,3,6;7;8,5.2,ok,,5.23,2026-05-04T19:18:26+00:00
142277868,1,3,3,90;100;101,5.89,ok,,7.19,2026-05-04T19:18:33+00:00
270604417,1,4,3,34;61;72,5.58,ok,,5.38,2026-05-04T19:18:39+00:00
149126400,0,22,3,27;30;35,5.61,ok,,5.95,2026-05-04T19:18:45+00:00
309787037,0,3,3,35;36;37,5.52,ok,,5.49,2026-05-04T19:18:50+00:00
14336130,1,4,3,20;47;60,5.79,ok,,5.82,2026-05-04T19:18:56+00:00
236775063,0,7,3,48;49;50,5.94,ok,,5.42,2026-05-04T19:19:01+00:00
383531859,0,4,3,38;100;101,5.8,ok,,5.47,2026-05-04T19:19:07+00:00
142394656,1,8,3,15;21;22,5.89,ok,,5.54,2026-05-04T19:19:12+00:00
23113034,0,2,2,70;71,3.76,ok,,3.79,2026-05-04T19:19:16+00:00
452866790,1,4,3,7;34;61,5.51,ok,,5.23,2026-05-04T19:19:21+00:00
331034236,0,5,3,56;57;76,6.12,ok,,5.96,2026-05-04T19:19:27+00:00
134315574,0,1,1,61,1.86,ok,,2.01,2026-05-04T19:19:29+00:00
258557847,0,1,1,80,1.94,ok,,2.2,2026-05-04T19:19:32+00:00
117068362,0,1,1,82,1.89,ok,,2.13,2026-05-04T19:19:34+00:00
95122849,0,3,3,60;71;72,5.64,ok,,5.55,2026-05-04T19:19:39+00:00
199444169,1,3,3,16;56;83,5.67,ok,,5.66,2026-05-04T19:19:45+00:00
9102327,0,0,0,,0.0,no_data,,3.24,2026-05-04T19:19:48+00:00
269238073,0,6,3,57;58;77,6.18,ok,,6.01,2026-05-04T19:19:54+00:00
79748331,1,4,3,13;27;67,5.89,ok,,0.37,2026-05-04T19:19:55+00:00
154089169,1,10,3,14;15;21,5.87,ok,,5.91,2026-05-04T19:20:00+00:00
196286587,0,2,2,34;61,3.72,ok,,4.01,2026-05-04T19:20:04+00:00
137543637,0,2,2,73;74,3.92,ok,,3.91,2026-05-04T19:20:08+00:00
266980320,1,4,3,1;28;68,5.9,ok,,9.05,2026-05-04T19:20:17+00:00
364107753,0,5,3,12;39;66,6.18,ok,,5.52,2026-05-04T19:20:23+00:00
367099243,0,1,1,52,1.79,ok,,2.19,2026-05-04T19:20:25+00:00
360156606,1,7,3,11;12;38,5.98,ok,,5.48,2026-05-04T19:20:31+00:00
368287008,1,3,3,24;51;78,5.07,ok,,5.17,2026-05-04T19:20:36+00:00
13023738,0,1,1,29,1.92,ok,,2.2,2026-05-04T19:20:38+00:00
256621916,0,3,3,41;54;55,5.85,ok,,5.55,2026-05-04T19:20:44+00:00
44745077,0,2,2,4;5,3.82,ok,,3.73,2026-05-04T19:20:47+00:00
419523962,1,3,3,58;78;85,5.22,ok,,5.45,2026-05-04T19:20:53+00:00
178709444,1,7,3,10;36;37,5.61,ok,,5.76,2026-05-04T19:20:59+00:00
455784423,1,2,2,57;84,3.99,ok,,3.92,2026-05-04T19:21:02+00:00
159418353,1,17,3,14;19;20,5.73,ok,,5.67,2026-05-04T19:21:14+00:00
95660472,1,6,3,44;45;46,5.6,ok,,6.26,2026-05-04T19:21:20+00:00
1979500576,0,1,1,55,0.0,ok,,8.48,2026-05-04T19:21:28+00:00
239722954,0,2,2,59;73,3.9,ok,,3.77,2026-05-04T19:21:32+00:00
154867950,0,9,3,21;40;41,6.0,ok,,5.61,2026-05-04T19:21:38+00:00
399967279,1,5,3,42;43;44,5.45,ok,,5.37,2026-05-04T19:21:43+00:00
120602501,0,3,3,16;56;83,5.67,ok,,5.49,2026-05-04T19:21:49+00:00
267489265,0,3,3,15;54;55,5.81,ok,,5.46,2026-05-04T19:21:54+00:00
49710555,0,2,2,29;42,3.78,ok,,3.83,2026-05-04T19:21:58+00:00
322202434,0,5,3,16;17;18,5.42,ok,,5.68,2026-05-04T19:22:04+00:00
403693875,0,4,3,6;33;71,5.39,ok,,5.79,2026-05-04T19:22:09+00:00
389999924,0,3,3,63;64;99,5.93,ok,,5.95,2026-05-04T19:22:15+00:00
453464017,0,2,2,37;38,3.81,ok,,4.11,2026-05-04T19:22:20+00:00
270238522,0,0,0,,0.0,no_data,,3.47,2026-05-04T19:22:23+00:00
373576942,0,5,3,55;75;76,5.99,ok,,5.77,2026-05-04T19:22:35+00:00
242083025,0,3,3,37;64;101,5.74,ok,,5.95,2026-05-04T19:22:41+00:00
458419328,1,2,2,47;74,3.94,ok,,4.0,2026-05-04T19:22:45+00:00
318608749,0,4,3,27;39;66,5.93,ok,,6.25,2026-05-04T19:22:51+00:00
239541449,0,2,2,56;83,3.86,ok,,4.2,2026-05-04T19:22:55+00:00
307734817,0,2,2,22;49,3.95,ok,,3.98,2026-05-04T19:22:59+00:00
279989567,0,1,1,87,1.97,ok,,2.99,2026-05-04T19:23:02+00:00
464646604,1,5,3,27;67;93,5.73,ok,,5.56,2026-05-04T19:23:08+00:00
32283946,0,1,1,30,2.0,ok,,2.34,2026-05-04T19:23:10+00:00
310267134,0,1,1,93,1.92,ok,,2.33,2026-05-04T19:23:12+00:00
99869022,1,3,3,41;48;75,6.02,ok,,5.8,2026-05-04T19:23:18+00:00
408618999,1,8,3,18;19;25,5.5,ok,,6.1,2026-05-04T19:23:24+00:00
253990973,0,1,1,13,2.08,ok,,2.37,2026-05-04T19:23:27+00:00
279251651,0,32,3,2;3;4,5.9,ok,,6.3,2026-05-04T19:23:33+00:00
384744828,0,1,1,39,2.04,ok,,2.31,2026-05-04T19:23:35+00:00
89876424,0,5,3,55;74;75,5.96,ok,,13.36,2026-05-04T19:23:49+00:00
51637609,1,1,1,83,1.83,ok,,2.17,2026-05-04T19:23:57+00:00
293527670,0,0,0,,0.0,no_data,,4.04,2026-05-04T19:24:01+00:00
399144800,0,6,3,10;11;37,5.76,ok,,8.53,2026-05-04T19:24:16+00:00
87216634,1,1,1,81,1.95,ok,,3.39,2026-05-04T19:24:19+00:00
71431780,1,5,3,20;26;47,5.73,ok,,7.95,2026-05-04T19:24:36+00:00
20892672,0,0,0,,0.0,no_data,,2.45,2026-05-04T19:24:46+00:00
