tid,label,sector_chosen,valid_fraction,n_points_raw,status,error,duration_s,processed_at
132534906,0,61,0.8621,18312,ok,,0.62,2026-05-05T04:41:42+00:00
179034327,1,5,0.9163,18944,ok,,0.63,2026-05-05T04:41:43+00:00
142381532,1,21,0.9647,19694,ok,,0.67,2026-05-05T04:41:44+00:00
195199644,0,76,0.9759,19502,ok,,0.64,2026-05-05T04:41:46+00:00
88992642,1,40,0.9661,20309,ok,,0.65,2026-05-05T04:41:47+00:00
392476080,1,79,0.6359,19542,ok,,0.68,2026-05-05T04:41:48+00:00
20182165,0,24,0.7838,19074,ok,,0.72,2026-05-05T04:41:48+00:00
131581531,0,88,0.9767,20000,ok,,0.85,2026-05-05T04:41:49+00:00
445903569,1,63,0.9734,19107,ok,,1.29,2026-05-05T04:41:50+00:00
232608943,1,40,0.9661,20309,ok,,1.88,2026-05-05T04:41:54+00:00
9033144,0,2,0.9427,19737,ok,,1.98,2026-05-05T04:41:56+00:00
92013169,0,33,0.9377,18609,ok,,2.03,2026-05-05T04:41:58+00:00
305424003,1,39,0.9632,20126,ok,,1.93,2026-05-05T04:42:00+00:00
364075352,0,40,0.9661,20309,ok,,1.94,2026-05-05T04:42:02+00:00
387664868,0,-1,0.0,0,no_fits,,1.7,2026-05-05T04:42:04+00:00
287190564,0,41,0.957,19149,ok,,1.82,2026-05-05T04:42:06+00:00
158297421,1,13,0.8233,20479,ok,,2.41,2026-05-05T04:42:08+00:00
60074373,0,88,0.9363,20000,ok,,1.34,2026-05-05T04:42:09+00:00
261258875,0,34,0.9232,18231,ok,,0.85,2026-05-05T04:42:10+00:00
360286627,0,37,0.9023,18249,ok,,0.64,2026-05-05T04:42:11+00:00
238374636,0,34,0.9302,18231,ok,,0.63,2026-05-05T04:42:11+00:00
99330090,0,48,0.7921,20202,ok,,0.63,2026-05-05T04:42:12+00:00
298495970,0,53,0.8439,17992,ok,,0.61,2026-05-05T04:42:13+00:00
248250955,1,39,0.9095,20126,ok,,0.65,2026-05-05T04:42:13+00:00
154927364,0,40,0.9661,20309,ok,,0.69,2026-05-05T04:42:14+00:00
271042173,0,54,0.9491,18890,ok,,0.53,2026-05-05T04:42:15+00:00
31656385,0,30,0.8549,19687,ok,,0.62,2026-05-05T04:42:15+00:00
151959065,0,9,0.8617,18187,ok,,0.62,2026-05-05T04:42:16+00:00
34505005,0,63,0.9734,19107,ok,,0.63,2026-05-05T04:42:18+00:00
142532090,1,87,0.7641,19370,ok,,0.7,2026-05-05T04:42:18+00:00
107728509,0,39,0.883,20126,ok,,0.57,2026-05-05T04:42:19+00:00
106997505,0,34,0.9229,18231,ok,,0.61,2026-05-05T04:42:20+00:00
66561343,1,33,0.9383,18609,ok,,0.69,2026-05-05T04:42:20+00:00
377304435,0,40,0.9623,20309,ok,,0.91,2026-05-05T04:42:21+00:00
417646390,1,53,0.9623,17992,ok,,0.62,2026-05-05T04:42:22+00:00
464296022,0,90,0.9588,20105,ok,,0.6,2026-05-05T04:42:22+00:00
52041724,0,25,0.8836,18489,ok,,0.61,2026-05-05T04:42:23+00:00
144956678,0,34,0.9319,18231,ok,,0.64,2026-05-05T04:42:24+00:00
162577466,0,52,0.9464,17602,ok,,0.66,2026-05-05T04:42:25+00:00
402898317,1,17,0.7899,18012,ok,,0.82,2026-05-05T04:42:26+00:00
137906197,1,21,0.9596,19694,ok,,0.73,2026-05-05T04:42:27+00:00
417931607,1,21,0.9647,19694,ok,,0.81,2026-05-05T04:42:28+00:00
305506996,1,82,0.913,18619,ok,,1.04,2026-05-05T04:42:29+00:00
67512645,1,72,0.7988,18292,ok,,0.7,2026-05-05T04:42:30+00:00
219015370,1,40,0.9661,20309,ok,,0.68,2026-05-05T04:42:30+00:00
220435095,0,27,0.9344,17546,ok,,0.63,2026-05-05T04:42:31+00:00
290131778,1,1,0.9216,20076,ok,,0.67,2026-05-05T04:42:32+00:00
73723286,0,63,0.9734,19107,ok,,0.7,2026-05-05T04:42:32+00:00
103245940,0,90,0.8336,20105,ok,,0.66,2026-05-05T04:42:33+00:00
1100766816,0,-1,0.0,0,no_fits,,0.57,2026-05-05T04:42:33+00:00
243153196,0,57,0.8688,20712,ok,,0.54,2026-05-05T04:42:34+00:00
209464063,1,31,0.9075,18314,ok,,0.65,2026-05-05T04:42:35+00:00
50309953,0,1,0.9265,20076,ok,,0.57,2026-05-05T04:42:36+00:00
305478010,0,83,0.9651,17967,ok,,0.6,2026-05-05T04:42:37+00:00
384888319,1,70,0.7995,18339,ok,,0.69,2026-05-05T04:42:38+00:00
369327947,1,27,0.9177,17546,ok,,0.65,2026-05-05T04:42:38+00:00
271439193,0,58,0.9769,19962,ok,,0.63,2026-05-05T04:42:39+00:00
315755496,0,40,0.9661,20309,ok,,0.65,2026-05-05T04:42:40+00:00
286916251,1,22,0.866,19579,ok,,0.68,2026-05-05T04:42:40+00:00
118021229,0,34,0.9267,18231,ok,,0.63,2026-05-05T04:42:42+00:00
69356857,1,81,0.9619,19174,ok,,0.73,2026-05-05T04:42:44+00:00
454248975,1,64,0.976,19385,ok,,0.62,2026-05-05T04:42:46+00:00
19342878,1,61,0.8548,18312,ok,,0.64,2026-05-05T04:42:47+00:00
258920431,1,40,0.9661,20309,ok,,0.73,2026-05-05T04:42:48+00:00
281408474,1,87,0.7955,19370,ok,,0.6,2026-05-05T04:42:48+00:00
81429971,0,34,0.9326,18231,ok,,0.69,2026-05-05T04:42:49+00:00
276380902,0,55,0.9654,19562,ok,,0.68,2026-05-05T04:42:50+00:00
185226925,0,56,0.9768,20079,ok,,0.63,2026-05-05T04:42:50+00:00
147950620,1,14,0.9628,19337,ok,,0.67,2026-05-05T04:42:51+00:00
202426247,1,14,0.9233,19337,ok,,0.6,2026-05-05T04:42:52+00:00
158002130,1,14,0.9628,19337,ok,,0.69,2026-05-05T04:42:52+00:00
308034948,0,37,0.8767,18249,ok,,0.68,2026-05-05T04:42:53+00:00
81247740,1,50,0.5581,18896,ok,,0.59,2026-05-05T04:42:54+00:00
252537013,0,84,0.7792,18545,ok,,0.62,2026-05-05T04:42:54+00:00
425721385,0,27,0.7325,17546,ok,,0.59,2026-05-05T04:42:55+00:00
393818343,1,55,0.6846,19562,ok,,0.57,2026-05-05T04:42:55+00:00
28873762,0,44,0.8977,17466,ok,,0.69,2026-05-05T04:42:56+00:00
81212286,0,20,0.9398,18954,ok,,0.83,2026-05-05T04:42:59+00:00
284747017,0,44,0.9307,17466,ok,,1.27,2026-05-05T04:43:00+00:00
424196109,1,65,0.9767,20085,ok,,0.75,2026-05-05T04:43:03+00:00
151724385,1,92,0.8055,19207,ok,,0.77,2026-05-05T04:43:04+00:00
146520535,1,32,0.9344,18730,ok,,0.68,2026-05-05T04:43:06+00:00
30329585,0,40,0.9661,20309,ok,,0.65,2026-05-05T04:43:08+00:00
207110080,1,30,0.8511,19687,ok,,0.7,2026-05-05T04:43:10+00:00
163539739,1,56,0.9768,20079,ok,,0.66,2026-05-05T04:43:11+00:00
394137592,1,1,0.9265,20076,ok,,0.71,2026-05-05T04:43:12+00:00
380517859,0,82,0.9748,18619,ok,,0.72,2026-05-05T04:43:12+00:00
131979339,0,34,0.9332,18231,ok,,0.65,2026-05-05T04:43:13+00:00
97921547,1,88,0.9767,20000,ok,,0.73,2026-05-05T04:43:14+00:00
155044736,0,34,0.9283,18231,ok,,1.11,2026-05-05T04:43:15+00:00
193641523,1,38,0.9629,19226,ok,,0.91,2026-05-05T04:43:16+00:00
47484268,0,2,0.9212,19737,ok,,0.67,2026-05-05T04:43:19+00:00
238162973,0,62,0.8778,18517,ok,,1.29,2026-05-05T04:43:20+00:00
341544930,0,41,0.957,19149,ok,,1.82,2026-05-05T04:43:22+00:00
298049015,0,74,0.7134,19232,ok,,1.94,2026-05-05T04:43:24+00:00
184679932,0,58,0.951,19962,ok,,1.79,2026-05-05T04:43:26+00:00
174328045,1,84,0.7993,18545,ok,,1.6,2026-05-05T04:43:28+00:00
23434737,1,9,0.8852,18187,ok,,1.79,2026-05-05T04:43:29+00:00
302659412,0,38,0.9629,19226,ok,,1.69,2026-05-05T04:43:31+00:00
344085117,0,62,0.8873,18517,ok,,1.66,2026-05-05T04:43:33+00:00
9727392,0,2,0.9427,19737,ok,,1.76,2026-05-05T04:43:35+00:00
238197709,0,13,0.8534,20479,ok,,1.7,2026-05-05T04:43:36+00:00
306648160,1,100,0.8559,19064,ok,,1.69,2026-05-05T04:43:38+00:00
686072378,0,32,0.9392,18730,ok,,1.78,2026-05-05T04:43:40+00:00
349373192,0,13,0.8534,20479,ok,,1.68,2026-05-05T04:43:41+00:00
95057860,1,87,0.7774,19370,ok,,1.7,2026-05-05T04:43:43+00:00
42123111,0,55,0.9654,19562,ok,,1.68,2026-05-05T04:43:45+00:00
466206508,1,27,0.8984,17546,ok,,1.74,2026-05-05T04:43:54+00:00
412961700,0,88,0.9767,20000,ok,,1.78,2026-05-05T04:43:56+00:00
441462736,1,2,0.9427,19737,ok,,1.77,2026-05-05T04:43:58+00:00
141776043,0,34,0.9282,18231,ok,,1.79,2026-05-05T04:43:59+00:00
15692883,1,57,0.8688,20712,ok,,1.77,2026-05-05T04:44:01+00:00
169187982,0,55,0.9654,19562,ok,,1.99,2026-05-05T04:44:03+00:00
357972447,0,55,0.9654,19562,ok,,1.82,2026-05-05T04:44:09+00:00
420112587,0,14,0.9628,19337,ok,,1.89,2026-05-05T04:44:11+00:00
212957629,1,30,0.8151,19687,ok,,1.94,2026-05-05T04:44:13+00:00
341805908,0,65,0.9767,20085,ok,,1.89,2026-05-05T04:44:15+00:00
96246348,0,33,0.9383,18609,ok,,2.05,2026-05-05T04:44:17+00:00
318209162,0,21,0.9568,19694,ok,,1.96,2026-05-05T04:44:25+00:00
119584412,1,22,0.8291,19579,ok,,1.31,2026-05-05T04:44:26+00:00
55525572,1,6,0.9332,15678,ok,,0.75,2026-05-05T04:44:27+00:00
457743020,0,64,0.976,19385,ok,,0.62,2026-05-05T04:44:27+00:00
255918903,0,66,0.6573,20707,ok,,0.59,2026-05-05T04:44:28+00:00
396562848,1,25,0.9491,18489,ok,,0.7,2026-05-05T04:44:29+00:00
170729775,1,5,0.9169,18944,ok,,0.84,2026-05-05T04:44:29+00:00
18017227,0,48,0.7609,20202,ok,,0.7,2026-05-05T04:44:30+00:00
296739893,1,62,0.8751,18517,ok,,0.68,2026-05-05T04:44:31+00:00
131581522,0,61,0.8706,18312,ok,,1.05,2026-05-05T04:44:32+00:00
22221375,1,9,0.8806,18187,ok,,0.65,2026-05-05T04:44:32+00:00
42015200,0,30,0.8386,19687,ok,,0.76,2026-05-05T04:44:33+00:00
134200185,1,6,0.945,15678,ok,,0.69,2026-05-05T04:44:35+00:00
142277868,1,90,0.9077,20105,ok,,0.67,2026-05-05T04:44:36+00:00
270604417,1,34,0.9272,18231,ok,,0.59,2026-05-05T04:44:36+00:00
149126400,0,27,0.955,17546,ok,,0.79,2026-05-05T04:44:37+00:00
309787037,0,37,0.8866,18249,ok,,0.71,2026-05-05T04:44:38+00:00
14336130,1,20,0.9398,18954,ok,,0.67,2026-05-05T04:44:39+00:00
236775063,0,48,0.7774,20202,ok,,0.81,2026-05-05T04:44:39+00:00
383531859,0,38,0.9629,19226,ok,,1.1,2026-05-05T04:44:40+00:00
142394656,1,21,0.9579,19694,ok,,1.98,2026-05-05T04:44:42+00:00
23113034,0,70,0.8325,18339,ok,,1.67,2026-05-05T04:44:44+00:00
452866790,1,7,0.9291,17612,ok,,1.82,2026-05-05T04:44:46+00:00
331034236,0,56,0.9768,20079,ok,,1.76,2026-05-05T04:44:48+00:00
134315574,0,61,0.8565,18312,ok,,1.75,2026-05-05T04:44:49+00:00
258557847,0,80,0.6286,19047,ok,,1.83,2026-05-05T04:44:51+00:00
117068362,0,82,0.9593,18619,ok,,1.81,2026-05-05T04:44:53+00:00
95122849,0,72,0.8052,18292,ok,,1.93,2026-05-05T04:44:55+00:00
199444169,1,83,0.9651,17967,ok,,1.72,2026-05-05T04:44:57+00:00
269238073,0,58,0.9769,19962,ok,,1.75,2026-05-05T04:44:59+00:00
79748331,1,13,0.8199,20479,ok,,1.87,2026-05-05T04:45:02+00:00
154089169,1,14,0.9628,19337,ok,,1.84,2026-05-05T04:45:04+00:00
196286587,0,34,0.9255,18231,ok,,1.8,2026-05-05T04:45:06+00:00
137543637,0,74,0.6295,19232,ok,,1.91,2026-05-05T04:45:08+00:00
266980320,1,1,0.9265,20076,ok,,1.93,2026-05-05T04:45:10+00:00
364107753,0,39,0.9632,20126,ok,,1.81,2026-05-05T04:45:11+00:00
367099243,0,52,0.8915,17602,ok,,1.79,2026-05-05T04:45:13+00:00
360156606,1,38,0.9629,19226,ok,,1.84,2026-05-05T04:45:15+00:00
368287008,1,24,0.8502,19074,ok,,1.87,2026-05-05T04:45:17+00:00
13023738,0,29,0.7822,18864,ok,,1.84,2026-05-05T04:45:19+00:00
256621916,0,41,0.957,19149,ok,,1.99,2026-05-05T04:45:21+00:00
44745077,0,5,0.9075,18944,ok,,1.79,2026-05-05T04:45:23+00:00
419523962,1,78,0.9752,13003,ok,,2.0,2026-05-05T04:45:25+00:00
178709444,1,36,0.8607,18066,ok,,1.76,2026-05-05T04:45:26+00:00
455784423,1,84,0.9021,18545,ok,,1.89,2026-05-05T04:45:28+00:00
159418353,1,14,0.9628,19337,ok,,1.83,2026-05-05T04:45:37+00:00
95660472,1,44,0.8737,17466,ok,,1.92,2026-05-05T04:45:39+00:00
1979500576,0,-1,0.0,0,no_fits,,1.69,2026-05-05T04:45:41+00:00
239722954,0,59,0.8797,19029,ok,,1.66,2026-05-05T04:45:43+00:00
154867950,0,40,0.9661,20309,ok,,1.91,2026-05-05T04:45:45+00:00
399967279,1,44,0.8975,17466,ok,,1.57,2026-05-05T04:45:46+00:00
120602501,0,56,0.9708,20079,ok,,1.58,2026-05-05T04:45:48+00:00
267489265,0,54,0.9491,18890,ok,,1.58,2026-05-05T04:45:49+00:00
49710555,0,29,0.7866,18864,ok,,1.51,2026-05-05T04:45:51+00:00
322202434,0,18,0.8656,17554,ok,,1.59,2026-05-05T04:45:52+00:00
403693875,0,33,0.9383,18609,ok,,1.65,2026-05-05T04:45:54+00:00
389999924,0,64,0.976,19385,ok,,1.57,2026-05-05T04:45:56+00:00
453464017,0,38,0.9629,19226,ok,,1.66,2026-05-05T04:45:57+00:00
373576942,0,75,0.9766,19947,ok,,1.77,2026-05-05T04:46:02+00:00
242083025,0,64,0.895,19385,ok,,1.63,2026-05-05T04:46:04+00:00
458419328,1,47,0.8422,19544,ok,,1.68,2026-05-05T04:46:06+00:00
318608749,0,39,0.9632,20126,ok,,1.48,2026-05-05T04:46:07+00:00
239541449,0,56,0.9768,20079,ok,,0.6,2026-05-05T04:46:08+00:00
307734817,0,22,0.8201,19579,ok,,0.6,2026-05-05T04:46:08+00:00
279989567,0,87,0.6911,19370,ok,,0.53,2026-05-05T04:46:09+00:00
464646604,1,27,0.9547,17546,ok,,0.61,2026-05-05T04:46:09+00:00
32283946,0,30,0.844,19687,ok,,0.61,2026-05-05T04:46:10+00:00
310267134,0,93,0.8156,18862,ok,,0.57,2026-05-05T04:46:11+00:00
99869022,1,41,0.9302,19149,ok,,0.69,2026-05-05T04:46:11+00:00
408618999,1,25,0.9491,18489,ok,,0.64,2026-05-05T04:46:12+00:00
253990973,0,13,0.8534,20479,ok,,0.56,2026-05-05T04:46:13+00:00
279251651,0,2,0.9013,19737,ok,,0.69,2026-05-05T04:46:13+00:00
384744828,0,39,0.9632,20126,ok,,0.6,2026-05-05T04:46:14+00:00
89876424,0,74,0.9772,19232,ok,,0.62,2026-05-05T04:46:14+00:00
51637609,1,83,0.9651,17967,ok,,0.62,2026-05-05T04:46:16+00:00
399144800,0,37,0.9185,18249,ok,,0.59,2026-05-05T04:46:18+00:00
87216634,1,81,0.8782,19174,ok,,0.61,2026-05-05T04:46:19+00:00
71431780,1,26,0.9619,17909,ok,,0.6,2026-05-05T04:46:20+00:00
234523599,1,2,0.9427,19737,ok,,0.68,2026-05-05T04:46:22+00:00
141616639,0,53,0.9623,17992,ok,,0.63,2026-05-05T04:46:23+00:00
408549705,0,59,0.8437,19029,ok,,0.63,2026-05-05T04:46:24+00:00
408636441,1,24,0.9646,19074,ok,,0.64,2026-05-05T04:46:24+00:00
120916706,1,30,0.8286,19687,ok,,0.64,2026-05-05T04:46:25+00:00
329864959,0,56,0.9768,20079,ok,,0.71,2026-05-05T04:46:26+00:00
239372503,0,75,0.9766,19947,ok,,0.62,2026-05-05T04:46:26+00:00
326470400,0,11,0.6017,19527,ok,,0.61,2026-05-05T04:46:27+00:00
329709756,0,75,0.9766,19947,ok,,0.68,2026-05-05T04:46:27+00:00
379929661,1,34,0.9261,18231,ok,,0.63,2026-05-05T04:46:31+00:00
219698776,1,14,0.9628,19337,ok,,0.69,2026-05-05T04:46:32+00:00
401125028,1,89,0.9775,20745,ok,,0.73,2026-05-05T04:46:33+00:00
133505138,0,9,0.904,18187,ok,,0.61,2026-05-05T04:46:33+00:00
358107516,1,27,0.9569,17546,ok,,0.62,2026-05-05T04:46:34+00:00
369480087,0,70,0.8035,18339,ok,,0.63,2026-05-05T04:46:35+00:00
385624852,0,37,0.9023,18249,ok,,0.55,2026-05-05T04:46:35+00:00
233681149,0,14,0.9628,19337,ok,,0.64,2026-05-05T04:46:36+00:00
232941965,1,75,0.9379,19947,ok,,0.52,2026-05-05T04:46:36+00:00
382302241,0,27,0.9569,17546,ok,,0.58,2026-05-05T04:46:37+00:00
443658196,0,38,0.9629,19226,ok,,0.59,2026-05-05T04:46:37+00:00
267867517,0,55,0.9654,19562,ok,,0.57,2026-05-05T04:46:38+00:00
258804746,1,31,0.8847,18314,ok,,0.58,2026-05-05T04:46:39+00:00
70524163,1,97,0.735,39335,ok,,0.54,2026-05-05T04:46:39+00:00
366602797,0,71,0.8111,18677,ok,,0.58,2026-05-05T04:46:40+00:00
63898957,1,30,0.8139,19687,ok,,0.55,2026-05-05T04:46:41+00:00
279605855,0,78,0.9752,13003,ok,,0.54,2026-05-05T04:46:42+00:00
268439377,0,89,0.9775,20745,ok,,0.61,2026-05-05T04:46:43+00:00
155005217,0,83,0.9651,17967,ok,,0.59,2026-05-05T04:46:44+00:00
98796344,1,31,0.9126,18314,ok,,0.59,2026-05-05T04:46:44+00:00
371711170,0,53,0.8294,17992,ok,,0.59,2026-05-05T04:46:45+00:00
322862882,0,91,0.5554,19780,ok,,0.53,2026-05-05T04:46:45+00:00
456305193,0,74,0.5524,19232,ok,,0.58,2026-05-05T04:46:46+00:00
410245915,0,35,0.7606,17997,ok,,0.54,2026-05-05T04:46:48+00:00
417948359,1,22,0.8206,19579,ok,,0.58,2026-05-05T04:46:49+00:00
21832928,1,26,0.9619,17909,ok,,0.53,2026-05-05T04:46:49+00:00
155807906,0,88,0.8844,20000,ok,,0.51,2026-05-05T04:46:50+00:00
69997672,0,40,0.9661,20309,ok,,0.53,2026-05-05T04:46:50+00:00
16005254,1,71,0.8222,18677,ok,,0.53,2026-05-05T04:46:51+00:00
156115721,0,34,0.9294,18231,ok,,0.54,2026-05-05T04:46:51+00:00
335483600,0,58,0.9769,19962,ok,,0.65,2026-05-05T04:46:52+00:00
298074836,1,20,0.9398,18954,ok,,0.56,2026-05-05T04:46:52+00:00
90448944,0,36,0.8709,18066,ok,,0.54,2026-05-05T04:46:53+00:00
317951248,0,33,0.9345,18609,ok,,0.52,2026-05-05T04:46:54+00:00
355636844,0,29,0.7875,18864,ok,,0.51,2026-05-05T04:46:54+00:00
192372961,0,58,0.9696,19962,ok,,0.54,2026-05-05T04:46:55+00:00
188768068,1,20,0.9398,18954,ok,,0.58,2026-05-05T04:46:55+00:00
307377219,0,71,0.8107,18677,ok,,0.57,2026-05-05T04:46:56+00:00
229455001,1,14,0.9628,19337,ok,,0.51,2026-05-05T04:46:56+00:00
237808867,0,33,0.9383,18609,ok,,0.57,2026-05-05T04:46:57+00:00
357416482,0,24,0.9646,19074,ok,,0.55,2026-05-05T04:46:57+00:00
116257066,0,44,0.9293,17466,ok,,0.6,2026-05-05T04:46:58+00:00
303867090,0,90,0.9151,20105,ok,,0.52,2026-05-05T04:46:59+00:00
239816546,1,44,0.9299,17466,ok,,0.6,2026-05-05T04:46:59+00:00
468977648,0,89,0.9775,20745,ok,,0.62,2026-05-05T04:47:00+00:00
261141602,0,86,0.5935,19132,ok,,0.58,2026-05-05T04:47:00+00:00
110428269,0,41,0.957,19149,ok,,0.57,2026-05-05T04:47:01+00:00
269333648,1,63,0.9734,19107,ok,,0.56,2026-05-05T04:47:01+00:00
51024887,0,58,0.9582,19962,ok,,0.65,2026-05-05T04:47:02+00:00
151825527,1,9,0.8678,18187,ok,,0.5,2026-05-05T04:47:03+00:00
260476837,0,13,0.8534,20479,ok,,0.53,2026-05-05T04:47:03+00:00
235683377,1,14,0.9628,19337,ok,,0.54,2026-05-05T04:47:04+00:00
127793615,0,38,0.9491,19226,ok,,0.59,2026-05-05T04:47:07+00:00
1167538,1,32,0.9364,18730,ok,,0.58,2026-05-05T04:47:08+00:00
440801822,0,33,0.9383,18609,ok,,0.58,2026-05-05T04:47:09+00:00
367102581,0,58,0.9769,19962,ok,,0.52,2026-05-05T04:47:10+00:00
321436679,0,59,0.8617,19029,ok,,0.58,2026-05-05T04:47:11+00:00
277103955,0,1,0.9265,20076,ok,,0.54,2026-05-05T04:47:12+00:00
140830390,0,13,0.8534,20479,ok,,0.59,2026-05-05T04:47:12+00:00
258777137,0,14,0.9628,19337,ok,,0.59,2026-05-05T04:47:13+00:00
404518509,1,30,0.8588,19687,ok,,0.58,2026-05-05T04:47:14+00:00
